time,name,x,y,z
1625126211.7994118,c58a,0.61,5.26,1.0
1625126211.895038,c58a,0.75,5.14,1.0
1625126211.896032,c50,6.55,3.96,1.0
1625126211.9955873,c58a,0.72,5.26,1.0
1625126212.00257,c50,6.57,4.09,1.0
1625126212.0874515,c50,6.91,4.86,1.0
1625126212.0934296,c58a,0.76,5.17,1.0
1625126212.1743214,c58a,0.7,4.98,1.0
1625126212.1823049,c50,6.88,4.7,1.0
1625126212.274389,c8a9,2.61,5.04,1.0
1625126212.2823637,c50,6.62,3.97,1.0
1625126212.3242412,c58a,0.94,5.03,1.0
1625126212.3994358,c58a,1.01,5.28,1.0
1625126212.4024274,c50,6.68,4.12,1.0
1625126212.4836986,c58a,0.44,5.13,1.0
1625126212.4866927,c50,6.6,3.82,1.0
1625126212.5747406,c58a,0.43,5.15,1.0
1625126212.617774,c50,6.65,3.83,1.0
1625126212.7001474,c58a,0.8,4.82,1.0
1625126212.7021441,c50,6.66,4.04,1.0
1625126212.7685714,c58a,0.5,5.0,1.0
1625126212.8094623,c50,6.62,3.81,1.0
1625126212.8665836,c58a,0.65,5.57,1.0
1625126212.9037983,c50,6.81,4.41,1.0
1625126212.9548802,c58a,0.47,5.84,1.0
1625126212.9870615,c50,6.78,4.5,1.0
1625126213.0529978,c58a,0.79,5.19,1.0
1625126213.0942798,c50,6.58,4.06,1.0
1625126213.153006,c58a,0.76,5.16,1.0
1625126213.1958346,c50,6.53,4.02,1.0
1625126213.279445,c58a,0.92,5.18,1.0
1625126213.2834344,c50,6.56,3.95,1.0
1625126213.347517,c58a,1.05,5.05,1.0
1625126213.3913548,c50,6.82,4.31,1.0
1625126213.4480226,c58a,1.09,4.99,1.0
1625126213.4890826,c50,6.77,4.27,1.0
1625126213.5804524,c58a,0.71,5.17,1.0
1625126213.5834434,c50,6.57,3.98,1.0
1625126213.658766,c58a,0.69,5.57,1.0
1625126213.6647453,c50,6.52,3.91,1.0
1625126213.747223,c50,6.49,3.98,1.0
1625126213.879578,c50,6.65,3.71,1.0
1625126213.8855598,c58a,1.12,5.04,1.0
1625126213.9529104,c58a,1.15,4.86,1.0
1625126213.9559035,c50,6.59,3.96,1.0
1625126214.044123,c58a,0.56,5.17,1.0
1625126214.0521026,c50,6.41,4.29,1.0
1625126214.144442,c50,6.6,4.54,1.0
1625126214.1534255,c58a,1.12,5.08,1.0
1625126214.2472205,c50,6.53,4.11,1.0
1625126214.2542102,c58a,1.12,4.88,1.0
1625126214.3380868,c50,6.69,4.63,1.0
1625126214.3490593,c58a,1.08,5.01,1.0
1625126214.4372213,c50,6.92,5.15,1.0
1625126214.484448,c58a,1.08,4.97,1.0
1625126214.4924235,552,2.36,4.71,1.0
1625126214.5414143,c50,6.91,5.12,1.0
1625126214.5504243,c58a,0.61,5.17,1.0
1625126214.6358838,c50,6.88,5.03,1.0
1625126214.6711817,c58a,1.18,5.06,1.0
1625126214.7263465,c50,6.78,4.7,1.0
1625126214.768592,c58a,1.16,4.89,1.0
1625126214.8301964,c58a,0.66,5.26,1.0
1625126214.83619,c50,6.63,4.35,1.0
1625126214.9288785,c58a,1.16,4.95,1.0
1625126214.934863,c50,6.66,4.44,1.0
1625126215.0166578,c58a,0.6,5.33,1.0
1625126215.0428646,c50,6.53,4.53,1.0
1625126215.1198788,c58a,1.21,4.86,1.0
1625126215.1440763,c50,6.76,5.16,1.0
1625126215.2096653,c58a,1.25,4.86,1.0
1625126215.2540038,c50,6.78,5.01,1.0
1625126215.3059666,c58a,0.74,5.15,1.0
1625126215.3510637,c50,6.78,5.11,1.0
1625126215.406844,c58a,0.67,5.32,1.0
1625126215.447231,c50,6.71,4.96,1.0
1625126215.4923398,c58a,1.23,5.03,1.0
1625126215.5468805,c50,6.74,5.36,1.0
1625126215.5892165,c58a,0.6,5.45,1.0
1625126215.6370955,c50,6.65,5.24,1.0
1625126215.6778944,c58a,0.84,5.24,1.0
1625126215.731698,c50,6.71,5.18,1.0
1625126215.7797067,c58a,0.55,5.39,1.0
1625126215.84266,c50,6.7,5.01,1.0
1625126215.8870394,c58a,1.1,4.99,1.0
1625126215.9346437,c50,6.77,5.16,1.0
1625126215.9733267,c58a,0.7,5.55,1.0
1625126216.0416393,c50,6.79,5.41,1.0
1625126216.0849175,c58a,0.77,5.23,1.0
1625126216.1466494,c50,6.78,5.13,1.0
1625126216.2447178,c50,6.84,5.22,1.0
1625126216.3443046,c50,6.88,5.24,1.0
1625126216.4370224,c50,6.9,5.29,1.0
1625126216.526511,c50,6.87,5.11,1.0
1625126216.628362,c50,6.9,5.24,1.0
1625126216.729501,c50,6.89,5.17,1.0
1625126216.8124664,c50,6.91,5.23,1.0
1625126216.9025948,c50,6.9,5.27,1.0
1625126217.0275996,c50,6.9,5.27,1.0
1625126217.0948362,c50,6.9,5.27,1.0
1625126217.1983113,c50,6.88,5.25,1.0
1625126217.2878325,c50,6.88,5.23,1.0
1625126217.3867774,c50,6.86,5.23,1.0
1625126217.4853406,c50,6.87,5.31,1.0
1625126217.5309582,c8a9,2.6,4.91,1.0
1625126217.5750048,c50,6.87,5.25,1.0
1625126217.620029,c50,6.88,5.26,1.0
1625126218.0976725,c8a9,2.61,4.74,1.0
1625126218.1882772,c8a9,2.63,4.85,1.0
1625126218.2856836,c8a9,2.62,4.75,1.0
1625126218.3868275,c8a9,2.63,4.76,1.0
1625126218.3948257,c50,6.89,5.24,1.0
1625126218.4725876,c8a9,2.63,4.77,1.0
1625126218.5190315,c50,6.89,5.16,1.0
1625126218.5831373,c8a9,2.66,4.67,1.0
1625126218.625171,c50,6.94,5.22,1.0
1625126218.7077887,c8a9,2.64,4.74,1.0
1625126218.7117755,c50,6.95,5.08,1.0
1625126218.7859702,c8a9,2.58,4.75,1.0
1625126218.7931776,c50,6.93,5.13,1.0
1625126218.8848646,c50,6.92,5.14,1.0
1625126218.8938444,c8a9,11.88,5.39,1.0
1625126218.98455,c50,6.92,5.15,1.0
1625126219.013474,c8a9,2.61,4.79,1.0
1625126219.0780945,c8a9,2.61,4.73,1.0
1625126219.0830863,c50,6.86,5.14,1.0
1625126219.1831877,c50,6.95,5.11,1.0
1625126219.186185,c8a9,2.6,4.76,1.0
1625126219.2766874,c50,6.87,5.16,1.0
1625126219.3226662,c8a9,2.56,4.7,1.0
1625126219.3824823,c50,6.91,5.17,1.0
1625126219.4252868,c8a9,2.61,4.73,1.0
1625126219.4672341,552,2.32,4.75,1.0
1625126219.5065515,c50,6.92,5.1,1.0
1625126219.5105393,c8a9,2.65,4.82,1.0
1625126219.5924816,c50,6.93,5.17,1.0
1625126219.6024606,c8a9,2.63,4.85,1.0
1625126219.68835,c50,6.93,5.2,1.0
1625126219.7307596,c8a9,2.64,4.73,1.0
1625126219.782647,c50,6.92,5.24,1.0
1625126219.8246813,c8a9,2.6,4.76,1.0
1625126219.9071221,c50,6.92,5.21,1.0
1625126219.9111137,c8a9,2.63,4.84,1.0
1625126219.9615073,c50,6.93,5.18,1.0
1625126220.0099282,c8a9,2.59,4.77,1.0
1625126220.056007,c50,6.9,5.19,1.0
1625126220.104519,c8a9,2.6,4.75,1.0
1625126220.1504674,c50,6.87,5.17,1.0
1625126220.1980512,c8a9,2.6,4.75,1.0
1625126220.2482755,c50,6.91,5.28,1.0
1625126220.3125482,c8a9,2.59,4.81,1.0
1625126220.3539321,c50,6.9,5.27,1.0
1625126220.3983765,c8a9,2.65,4.86,1.0
1625126220.4860303,c50,6.9,5.32,1.0
1625126220.500001,c8a9,2.62,4.8,1.0
1625126220.5577087,c50,6.89,5.32,1.0
1625126220.6107242,c8a9,2.61,4.8,1.0
1625126220.654721,c50,6.93,5.37,1.0
1625126220.7131147,c8a9,2.63,4.84,1.0
1625126220.7950969,c50,6.9,5.34,1.0
1625126220.8372173,c8a9,2.62,4.8,1.0
1625126220.884947,c50,6.93,5.3,1.0
1625126220.9230747,c8a9,2.63,4.8,1.0
1625126220.9645307,c50,6.88,5.27,1.0
1625126221.0222187,c8a9,2.61,4.74,1.0
1625126221.0665932,c50,6.89,5.28,1.0
1625126221.1277142,c8a9,2.61,4.8,1.0
1625126221.1687255,c50,6.77,4.99,1.0
1625126221.2189875,c8a9,2.61,4.77,1.0
1625126221.251029,c58a,1.12,5.09,1.0
1625126221.2927139,c50,6.55,4.37,1.0
1625126221.3354454,c8a9,2.57,4.78,1.0
1625126221.3782759,c50,6.76,5.04,1.0
1625126221.4540813,c50,6.67,5.18,1.0
1625126221.5442789,c50,6.72,5.26,1.0
1625126221.6421893,c50,6.68,5.47,1.0
1625126221.7458456,c50,6.71,5.33,1.0
1625126221.8375127,c50,6.71,5.29,1.0
1625126221.9465067,c50,6.66,5.26,1.0
1625126222.0440927,c50,6.43,4.7,1.0
1625126222.147661,c50,6.64,5.12,1.0
1625126222.277255,c50,6.62,5.23,1.0
1625126222.356984,c50,6.4,4.79,1.0
1625126222.4579914,c50,6.69,5.22,1.0
1625126222.5766718,c50,6.4,4.71,1.0
1625126222.6526644,c50,6.47,4.76,1.0
1625126222.7530358,c50,6.46,4.72,1.0
1625126222.8787968,c50,6.42,4.76,1.0
1625126223.0545235,c50,6.51,4.72,1.0
1625126223.179018,c50,6.47,4.76,1.0
1625126223.2492754,c50,6.46,4.61,1.0
1625126223.3474946,c50,6.48,4.74,1.0
1625126223.4788914,c50,6.51,4.66,1.0
1625126223.5457923,c50,6.51,4.69,1.0
1625126223.6541717,c50,6.52,4.74,1.0
1625126223.780017,c50,6.45,4.72,1.0
1625126223.8530781,c50,6.45,4.66,1.0
1625126223.9546087,c50,6.45,4.75,1.0
1625126224.0791836,c50,6.43,4.76,1.0
1625126224.1478925,c50,6.45,4.72,1.0
1625126224.252387,c50,6.43,4.59,1.0
1625126224.3479667,c50,6.48,4.72,1.0
1625126224.4327953,c50,6.47,4.78,1.0
1625126224.4726894,552,2.34,4.42,1.0
1625126224.5573914,c50,6.51,4.82,1.0
1625126224.6233168,c50,6.47,4.75,1.0
1625126224.7147074,c50,6.47,4.67,1.0
1625126224.8293016,c50,6.46,4.76,1.0
1625126224.9232042,c50,6.43,4.82,1.0
1625126225.01307,c50,6.44,4.73,1.0
1625126225.1288743,c50,6.47,4.71,1.0
1625126225.205879,c50,6.48,4.77,1.0
1625126225.305393,c50,6.45,4.78,1.0
1625126225.426879,c50,6.49,4.71,1.0
1625126225.5092027,c50,6.49,4.78,1.0
1625126225.5995736,c50,6.51,4.81,1.0
1625126225.7272615,c50,6.47,4.77,1.0
1625126225.7974374,c50,6.49,4.77,1.0
1625126225.8977034,c50,6.47,4.77,1.0
1625126226.029597,c50,6.47,4.71,1.0
1625126226.1028864,c50,6.48,4.63,1.0
1625126226.2132528,c50,6.5,4.72,1.0
1625126226.328168,c50,6.46,4.78,1.0
1625126226.395091,c50,6.45,4.73,1.0
1625126226.4030702,c58a,0.8,5.2,1.0
1625126226.4872875,c8a9,2.62,4.85,1.0
1625126226.533216,c50,6.48,4.63,1.0
1625126226.5828185,c50,6.5,4.66,1.0
1625126226.6936333,c50,6.46,4.75,1.0
1625126226.7838256,c50,6.48,4.83,1.0
1625126226.8760352,c50,6.47,4.86,1.0
1625126226.9827952,c50,6.45,4.82,1.0
1625126227.0768747,c50,6.43,4.81,1.0
1625126227.172863,c50,6.43,4.93,1.0
1625126227.2212062,c50,6.43,4.79,1.0
1625126227.539016,c50,6.46,4.62,1.0
1625126227.6448998,c50,6.58,4.25,1.0
1625126227.7361991,c50,6.69,4.46,1.0
1625126227.8445723,c50,6.52,4.52,1.0
1625126227.9352539,c50,6.59,5.42,1.0
1625126228.0341082,c50,6.39,5.0,1.0
1625126228.1290166,c50,6.37,4.8,1.0
1625126228.2346294,c50,6.32,4.81,1.0
1625126228.3349037,c50,6.32,4.84,1.0
1625126228.43773,c50,6.29,4.88,1.0
1625126228.5322776,c50,6.33,4.87,1.0
1625126228.6230955,c50,6.29,4.83,1.0
1625126228.7278178,c50,6.32,4.8,1.0
